date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:41:10	80148/80148	---M--	200	added ('OK')	font/woff2	date:Fri,%2017%20Jul%202020%2012:59:48%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.woff2	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.woff2	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
04:41:12	84216/84216	---M--	200	added ('OK')	font/woff	date:Tue,%2011%20Oct%202022%2020:02:30%20GMT	https://html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381.woff?622cb10d1ce0f8ff8b951481e94e9412	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381e381.woff	(from https://html.dreamitsolution.net/prygo/assets/css/flaticon.css)
04:41:13	154512/154512	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2011%20Oct%202022%2020:02:30%20GMT	https://html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381.ttf?622cb10d1ce0f8ff8b951481e94e9412	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381e381.ttf	(from https://html.dreamitsolution.net/prygo/assets/css/flaticon.css)
04:41:13	69236/69236	---M--	200	added ('OK')	font/woff2	date:Tue,%2011%20Oct%202022%2020:02:30%20GMT	https://html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381.woff2?622cb10d1ce0f8ff8b951481e94e9412	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381e381.woff2	(from https://html.dreamitsolution.net/prygo/assets/css/flaticon.css)
04:41:15	154680/154680	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2011%20Oct%202022%2020:02:30%20GMT	https://html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381.eot?622cb10d1ce0f8ff8b951481e94e9412	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/fonts/flaticon-set-logisticse381e381.eot	(from https://html.dreamitsolution.net/prygo/assets/css/flaticon.css)
04:41:16	59759/59759	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2012:27:54%20GMT	https://html.dreamitsolution.net/prygo/assets/images/slider/banner1.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/slider/banner1.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:17	71744/71744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2012:27:54%20GMT	https://html.dreamitsolution.net/prygo/assets/images/slider/slider1.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/slider/slider1.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:17	21046/21046	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Mar%202023%2006:21:38%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/fc1.png	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/fc1.png	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:18	26352/26352	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Mar%202023%2006:27:02%20GMT	https://html.dreamitsolution.net/prygo/assets/images/resource/sr-bg2.jpg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/images/resource/sr-bg2.jpg	(from https://html.dreamitsolution.net/prygo/style.css)
04:41:18	914125/914125	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2007%20Jan%202021%2004:57:44%20GMT	https://html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.svg	C:/Users/Burhan/Downloads/Mine/salthttrackmain/salthttrack/html.dreamitsolution.net/prygo/assets/webfonts/fa-solid-900.svg	(from https://html.dreamitsolution.net/prygo/assets/css/all.min.css)
